user_id,session_id,email,source,medium,campaign,device,date,country,city,age,gender,loyalty_status,page_views,session_duration,bounce_rate,conversions,revenue,signup_date,last_purchase_date
user_64,session_16895,brenda167@outlook.com,instagram,cpc,,Mobile,2025-04-20,FR,South Carlburgh,41,Other,New,1,160.22,67%,,18.92,2024-06-05,2026-02-22
user_408,session_59834,james139@gmail.com,EMAIL,organic,retargeting,Tablet,07/01/2025,UK,,54,,,2,194.94,60%,0.0,24.8,2023-05-04,2023-08-18
user_217,session_26551,anne200@example,Google,DISPLAY,newsletter,Desktop ,2025/??/--,ES,Edwardmouth,46,,New,3,587.84,24%,0.0,96.02,2024-08-12,2026-02-16
user_72,session_13390,mark43@gmail.com,email,organic,spring_sale,Mobile,2025-04-07,IT,,52,Male,Returning,6,266.77,26%,1.0,11.09,2022-05-09,2023-10-01
user_235,session_95097,melissa69@gmail.com,LinkedIn,PAID_SOCIAL,,Desktop ,2025-10-11,CA,Thomasfurt,43,,New,3,2.9,31%,2.0,24.92,2024-08-09,
user_208,session_22249,angela52@yahoo.com,REFERRAL,cpc,black_friday,mobile,2024-12-31,,West Kristy,46,,Returning,12,347.99,60%,0.0,43.59,2023-09-06,2025-04-10
user_65,session_29476,ian179@example,linkedin,referral,newsletter,Desktop ,2025-05-14,FR,Freemanstad,51,Female,VIP,1,140.9,65%,0.0,66.29,2024-10-31,2026-02-07
user_283,session_57453,cody76@example,LinkedIn,DISPLAY,summer_sale,Desktop ,2025-01-12,ES,Robertside,58,Other,Returning,3,556.01,30%,0.0,5.98,2022-07-01,2023-09-21
user_113,session_65723,eileen162@outlook.com,Email,email,black_friday,Tablet,2024-11-08,US,Keithville,56,Other,Returning,7,101.37,68%,1.0,4.66,2023-10-31,
user_374,session_47762,kenneth99@gmail.com,Facebok,organic,,Desktop ,2025-09-23,,West Shellymouth,51,,,6,13.98,88%,1.0,66.04,2023-03-15,2023-10-24
user_300,session_54350,tracey198@yahoo.com,Gooogle,DISPLAY,,mobile,2025-07-25,ES,New Robert,39,,New,4,15.98,29%,1.0,6.0,2023-05-01,
user_398,session_29528,traci7@yahoo.com,LINKEDIN,referral ,newsletter,mobile,2025/??/--,DE,Watkinsville,46,Other,New,1,67.78,63%,0.0,0.28,2023-06-02,2024-02-11
user_341,session_30631,cathy136@outlook.com,referral,DISPLAY,,mobile,2025-05-21,IT,Lindahaven,46,Female,New,3,142.91,58%,0.0,43.77,2022-11-07,2023-12-18
user_367,session_58689,thomas50@example,Facebok,,,Tablet,17/10/2025,US,East Benjamin,61,Male,VIP,1,79.09,16%,0.0,139.34,2024-08-25,2025-04-21
user_256,session_67377,cindy78@gmail.com,Email,display,retargeting,,03/01/2025,IT,Harrisburgh,55,Female,New,6,75.06,65%,1.0,27.94,2022-04-07,
user_386,session_67366,michael125@yahoo.com,facebook,,black_friday,Mobile,2024-12-16,,Estradastad,51,Female,,6,557.84,12%,1.0,43.01€,2022-05-24,2023-02-24
user_332,session_91633,allison107@outlook.com,LINKEDIN,display,retargeting,Desktop,2025-02-08,US,Codymouth,28,,VIP,10,347.85,23%,0.0,2.38,2022-08-28,2024-08-07
user_25,session_67132,anthony115@hotmail.com,email,referral,summer_sale,Tablet,2025-05-04,FR,Kingview,56,Other,New,8,113.68,25%,1.0,41.44,2024-02-10,2024-03-07
user_32,session_32280,david77@hotmail.com,,ORGANIC,spring_sale,Mobile,2024-12-27,US,Lake Cole,65,Female,,7,428.37,0.62,0.0,112.69€,2022-05-24,2022-07-17
user_391,session_47752,sharon193@example,DIRECT,display,,mobile,2025-07-27,UK,Jacquelinemouth,19,Other,,5,91.92,64%,0.0,42.87,2024-09-02,2025-02-18
user_435,session_24530,albert179@outlook.com,Referral,cpc,black_friday,mobile,23/11/2024,DE,Jeffreyton,49,Male,Returning,1,267.84,75%,0.0,105.11,2022-12-01,2023-05-01
user_299,session_68756,jacqueline90@example,Gooogle,PAID_SOCIAL,black_friday,Desktop,2024-12-31,FR,South Wesleyport,51,Female,,9,382.85,27%,0.0,6.59,2024-05-07,2024-10-29
user_333,session_29936,brenda147@yahoo.com,Gooogle,,summer_sale,mobile,2025-09-25,US,Anthonyville,40,Male,Returning,1,263.65,32%,1.0,5.44,2022-07-10,2022-12-09
user_76,session_47947,stephanie1@example,LINKEDIN,DISPLAY,newsletter,,2025-06-02,US,West Deborahfort,44,Female,,9,56.65,0.28,0.0,4.81,2023-11-06,2024-11-06
user_461,session_26547,jose194@outlook.com,LINKEDIN,REFERRAL,retargeting,Desktop,2025-06-19,CA,South Johnport,23,Other,VIP,4,17.45,29%,1.0,9.72,2022-09-01,2023-02-01
