"user_id","session_id","email","source","campaign","device","date","country","city","age","gender","loyalty_status","page_views","session_duration","bounce_rate","conversions","revenue","signup_date","last_purchase_date"
user_64,session_16895,brenda167@outlook.com,Social media,Unknown,Mobile,"2025-04-20",FR,South Carlburgh,41,Other,New,1,"160.22 sec","67%",0.0,"18.92","2024-06-05","2026-02-22"
user_408,session_59834,james139@gmail.com,Email,retargeting,Tablet,"2025-01-07",UK,Unknown,54,Unknown,Unknown,2,"194.94 sec","60%",0.0,"24.8","2023-05-04","2023-08-18"
user_217,session_26551,anne200@gmail.com,Google,newsletter,Desktop,"2025-01-01",ES,Edwardmouth,46,Unknown,New,3,"587.84 sec","24%",0.0,"96.02","2024-08-12","2026-02-16"
user_72,session_13390,mark43@gmail.com,Email,spring_sale,Mobile,"2025-04-07",IT,Unknown,52,Male,Returning,6,"266.77 sec","26%",1.0,"11.09","2022-05-09","2023-10-01"
user_235,session_95097,melissa69@gmail.com,Social media,Unknown,Desktop,"2025-10-11",CA,Thomasfurt,43,Unknown,New,3,"2.9 sec","31%",2.0,"24.92","2024-08-09",""
user_208,session_22249,angela52@yahoo.com,Referral,black_friday,Mobile,"2024-12-31",Unknown,West Kristy,46,Unknown,Returning,12,"347.99 sec","60%",0.0,"43.59","2023-09-06","2025-04-10"
user_65,session_29476,ian179@gmail.com,Social media,newsletter,Desktop,"2025-05-14",FR,Freemanstad,51,Female,VIP,1,"140.9 sec","65%",0.0,"66.29","2024-10-31","2026-02-07"
user_283,session_57453,cody76@gmail.com,Social media,summer_sale,Desktop,"2025-01-12",ES,Robertside,58,Other,Returning,3,"556.01 sec","30%",0.0,"5.98","2022-07-01","2023-09-21"
user_113,session_65723,eileen162@outlook.com,Email,black_friday,Tablet,"2024-11-08",US,Keithville,56,Other,Returning,7,"101.37 sec","68%",1.0,"4.66","2023-10-31",""
user_374,session_47762,kenneth99@gmail.com,Social media,Unknown,Desktop,"2025-09-23",Unknown,West Shellymouth,51,Unknown,Unknown,6,"13.98 sec","88%",1.0,"66.04","2023-03-15","2023-10-24"
user_398,session_29528,traci7@yahoo.com,Social media,newsletter,Mobile,"2025-01-01",DE,Watkinsville,46,Other,New,1,"67.78 sec","63%",0.0,"0.28","2023-06-02","2024-02-11"
user_341,session_30631,cathy136@outlook.com,Referral,Unknown,Mobile,"2025-05-21",IT,Lindahaven,46,Female,New,3,"142.91 sec","58%",0.0,"43.77","2022-11-07","2023-12-18"
user_367,session_58689,thomas50@gmail.com,Social media,Unknown,Tablet,"2025-10-17",US,East Benjamin,61,Male,VIP,1,"79.09 sec","16%",0.0,"139.34","2024-08-25","2025-04-21"
user_256,session_67377,cindy78@gmail.com,Email,retargeting,Unknown,"2025-01-03",IT,Harrisburgh,55,Female,New,6,"75.06 sec","65%",1.0,"27.94","2022-04-07",""
user_386,session_67366,michael125@yahoo.com,Social media,black_friday,Mobile,"2024-12-16",Unknown,Estradastad,51,Female,Unknown,6,"557.84 sec","12%",1.0,"43.01€","2022-05-24","2023-02-24"
user_332,session_91633,allison107@outlook.com,Social media,retargeting,Desktop,"2025-02-08",US,Codymouth,28,Unknown,VIP,10,"347.85 sec","23%",0.0,"2.38","2022-08-28","2024-08-07"
user_25,session_67132,anthony115@hotmail.com,Email,summer_sale,Tablet,"2025-05-04",FR,Kingview,56,Other,New,8,"113.68 sec","25%",1.0,"41.44","2024-02-10","2024-03-07"
user_32,session_32280,david77@hotmail.com,Unknown,spring_sale,Mobile,"2024-12-27",US,Lake Cole,65,Female,Unknown,7,"428.37 sec","0.62%",0.0,"112.69€","2022-05-24","2022-07-17"
user_391,session_47752,sharon193@gmail.com,Direct,Unknown,Mobile,"2025-07-27",UK,Jacquelinemouth,19,Other,Unknown,5,"91.92 sec","64%",0.0,"42.87","2024-09-02","2025-02-18"
user_435,session_24530,albert179@outlook.com,Referral,black_friday,Mobile,"2024-11-23",DE,Jeffreyton,49,Male,Returning,1,"267.84 sec","75%",0.0,"105.11","2022-12-01","2023-05-01"
user_299,session_68756,jacqueline90@gmail.com,Google,black_friday,Desktop,"2024-12-31",FR,South Wesleyport,51,Female,Unknown,9,"382.85 sec","27%",0.0,"6.59","2024-05-07","2024-10-29"
user_333,session_29936,brenda147@yahoo.com,Google,summer_sale,Mobile,"2025-09-25",US,Anthonyville,40,Male,Returning,1,"263.65 sec","32%",1.0,"5.44","2022-07-10","2022-12-09"
user_76,session_47947,stephanie1@gmail.com,Social media,newsletter,Unknown,"2025-06-02",US,West Deborahfort,44,Female,Unknown,9,"56.65 sec","0.28%",0.0,"4.81","2023-11-06","2024-11-06"
user_461,session_26547,jose194@outlook.com,Social media,retargeting,Desktop,"2025-06-19",CA,South Johnport,23,Other,VIP,4,"17.45 sec","29%",1.0,"9.72","2022-09-01","2023-02-01"
